Moisture_Content,pH_Level,Carbon_Content,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Microbial_Activity,Processing_Temperature,Processing_Time,Energy_Consumption,Fertilizer_Quality,Cost,Carbon_Footprint,Seasonal_Availability,Waste_Type_Food Waste,Waste_Type_Garden Waste
50.26,8.43,47.86,1.83,0.78,2.85,156.82,55.33,25.5,253.96,17.35,62.0,1.23,2.0,1.0,0.0
75.31,5.7,47.76,2.33,1.91,2.98,74.25,61.48,66.76,496.83,20.16,94.33,1.31,2.0,0.0,1.0
46.07,7.97,45.74,1.26,1.3,2.16,51.95,69.59,60.95,327.58,16.6,74.51,1.53,1.0,1.0,0.0
53.82,7.44,45.37,1.86,1.78,1.22,139.43,59.06,35.97,348.71,11.86,72.92,1.06,1.0,0.0,0.0
41.3,7.44,57.22,3.34,1.01,1.92,191.36,68.75,71.1,288.41,17.4,67.59,0.91,0.0,1.0,0.0
62.02,5.89,41.4,1.45,1.0,2.58,141.41,68.29,32.61,364.93,10.21,67.85,1.03,2.0,1.0,0.0
78.95,7.45,53.55,2.94,1.98,1.06,167.44,55.08,67.88,482.66,15.78,97.87,0.76,2.0,0.0,0.0
60.17,8.45,43.46,3.75,1.28,1.11,150.92,58.04,39.57,335.48,13.19,67.73,0.87,1.0,1.0,0.0
47.89,8.24,46.89,3.04,0.71,1.13,124.62,62.87,60.63,126.02,17.28,56.21,1.62,2.0,0.0,0.0
62.39,6.82,41.23,3.43,0.83,2.46,157.76,60.36,45.91,297.16,10.39,57.38,1.04,1.0,1.0,0.0
36.15,5.62,45.4,1.33,1.22,2.0,173.62,51.92,59.35,497.1,19.36,93.71,0.55,1.0,0.0,1.0
74.43,6.59,55.37,1.75,0.56,1.74,83.71,69.87,31.48,254.96,17.34,67.6,1.62,0.0,0.0,1.0
55.15,7.98,57.7,3.68,1.19,1.21,100.42,65.05,36.94,337.55,14.43,71.75,1.35,1.0,1.0,0.0
52.47,7.6,44.43,3.15,1.13,2.46,83.56,58.75,28.79,142.65,16.7,50.87,1.88,1.0,1.0,0.0
59.29,6.88,49.27,2.92,1.67,1.64,117.83,62.36,65.53,156.47,15.55,66.59,1.64,2.0,1.0,0.0
61.24,5.67,49.41,2.99,1.03,1.53,182.76,51.75,38.22,449.87,13.8,84.05,0.7,0.0,0.0,1.0
33.59,6.78,57.47,2.24,1.97,2.3,101.78,59.91,57.33,220.14,25.68,60.06,1.49,0.0,1.0,0.0
64.13,6.91,55.26,1.13,0.77,2.12,106.17,68.62,63.37,222.18,15.82,62.7,1.43,0.0,0.0,1.0
42.1,8.29,50.26,3.35,1.39,1.72,179.06,67.93,67.27,254.89,14.27,65.9,1.15,1.0,0.0,0.0
65.7,7.42,53.41,3.04,0.63,2.28,127.31,56.75,29.1,486.59,22.12,89.35,0.86,0.0,0.0,1.0
71.13,6.43,56.95,2.42,1.6,1.54,130.32,60.63,66.86,133.76,20.82,63.19,1.62,1.0,0.0,1.0
70.2,7.08,40.19,3.7,1.99,2.59,179.12,63.95,33.47,427.51,17.63,84.78,0.75,1.0,0.0,0.0
57.63,5.7,48.06,2.01,1.73,1.46,123.58,56.8,59.37,236.62,12.73,61.89,1.2,1.0,0.0,1.0
56.01,8.42,58.14,1.88,1.33,1.32,152.23,51.3,58.98,439.79,19.55,86.14,0.91,1.0,1.0,0.0
37.14,6.58,54.81,3.62,1.23,2.56,62.85,60.11,24.41,496.7,11.08,88.06,1.13,0.0,1.0,0.0
68.77,6.93,50.86,3.39,1.75,2.42,76.79,62.03,34.59,239.47,7.25,55.03,1.72,0.0,0.0,1.0
43.57,6.57,50.59,2.54,1.9,1.37,110.66,50.12,47.61,151.74,13.5,59.24,1.46,2.0,1.0,0.0
54.83,7.55,46.96,1.39,1.98,1.23,124.23,51.91,44.16,157.75,15.31,58.86,1.75,0.0,0.0,1.0
44.21,7.49,50.41,1.65,1.09,2.68,194.86,54.15,68.09,403.5,28.25,86.97,0.66,2.0,1.0,0.0
36.69,7.65,53.11,2.97,1.99,2.55,195.6,56.96,41.27,157.97,23.8,58.16,1.25,0.0,1.0,0.0
61.48,6.3,48.37,2.16,0.73,1.65,177.68,60.82,68.98,204.17,10.07,63.8,1.13,0.0,0.0,1.0
32.72,6.45,54.28,3.51,0.88,2.32,97.34,55.88,46.05,181.76,22.11,53.21,1.59,0.0,1.0,0.0
67.43,5.88,57.22,3.85,0.63,1.25,194.6,55.52,70.29,242.27,11.81,74.14,1.11,1.0,0.0,1.0
45.88,7.47,43.09,3.42,0.91,2.01,153.4,67.39,59.39,129.75,22.01,55.08,1.45,0.0,1.0,0.0
30.01,5.62,49.03,2.13,1.65,1.04,108.94,52.9,63.81,442.7,13.26,84.42,1.06,0.0,1.0,0.0
55.56,7.29,48.16,3.37,1.78,1.78,155.25,59.91,29.03,444.06,13.12,80.86,0.92,2.0,0.0,0.0
32.34,8.11,53.75,2.05,1.67,1.15,52.48,69.06,52.13,265.17,22.27,67.55,1.73,0.0,0.0,0.0
43.81,8.17,45.0,1.5,1.45,1.95,71.92,62.5,30.85,344.84,11.7,68.34,1.5,1.0,0.0,1.0
65.35,6.85,52.81,1.1,1.27,1.84,174.45,64.34,38.29,356.78,25.48,76.06,0.85,0.0,0.0,0.0
33.13,6.88,57.55,2.16,1.56,1.89,146.84,58.62,53.93,399.7,15.62,90.34,1.03,2.0,0.0,1.0
71.97,5.73,48.36,3.71,1.09,1.09,104.63,50.4,58.86,308.28,20.31,66.38,1.37,0.0,0.0,0.0
30.19,7.51,58.22,1.72,1.76,1.72,125.1,62.92,25.88,304.13,19.15,59.49,1.31,0.0,1.0,0.0
42.34,7.96,59.86,1.62,1.52,2.51,185.77,62.64,49.49,352.52,22.53,81.32,0.9,2.0,0.0,1.0
67.05,6.23,42.12,3.91,1.55,1.74,144.74,52.21,51.14,381.22,9.22,82.29,1.13,0.0,0.0,1.0
45.81,6.76,44.66,1.08,1.3,2.43,109.72,59.24,27.78,238.68,5.18,67.78,1.52,2.0,1.0,0.0
35.09,8.02,59.01,3.36,1.83,1.74,68.05,68.31,48.03,232.15,14.51,72.27,1.58,2.0,0.0,1.0
48.01,8.13,59.17,1.96,0.88,1.85,94.06,54.1,58.26,207.89,16.72,66.31,1.55,1.0,0.0,1.0
43.52,6.23,41.95,1.11,1.07,2.13,196.75,59.22,26.55,319.54,12.5,61.53,0.9,1.0,0.0,0.0
72.14,7.15,40.3,3.75,1.67,2.9,115.6,59.22,60.49,244.06,11.43,68.28,1.47,2.0,0.0,1.0
45.67,6.08,43.22,1.42,1.24,1.22,120.78,66.22,51.67,316.13,3.13,70.21,1.13,1.0,1.0,0.0
69.45,5.81,59.92,2.66,1.83,1.07,124.79,66.49,63.99,262.39,16.04,71.55,1.25,1.0,0.0,0.0
74.59,8.23,43.6,1.82,1.02,2.22,182.62,65.19,34.47,434.69,14.36,76.71,0.83,2.0,0.0,0.0
51.69,7.96,50.05,1.2,1.05,2.9,140.59,57.31,64.0,129.25,14.81,58.48,1.74,0.0,1.0,0.0
75.5,7.78,56.97,1.15,1.83,2.98,154.05,51.44,28.54,328.88,16.4,72.27,0.91,0.0,1.0,0.0
48.87,5.65,40.41,1.35,1.2,1.97,108.41,56.99,43.38,330.25,10.75,73.2,1.32,0.0,0.0,0.0
78.2,8.03,52.09,1.21,1.27,1.94,54.36,63.6,33.58,253.49,16.79,64.25,1.73,1.0,0.0,1.0
34.46,6.81,45.54,3.28,1.0,2.29,189.65,64.05,66.05,268.41,9.88,73.8,1.12,1.0,0.0,0.0
64.35,6.53,57.25,2.46,0.92,2.11,192.37,69.3,57.84,420.05,17.16,79.89,0.75,0.0,1.0,0.0
54.69,7.14,45.67,2.03,1.48,2.27,192.37,59.07,25.22,212.27,12.9,57.9,1.2,2.0,0.0,0.0
49.38,5.77,53.74,2.26,0.68,2.75,191.55,62.65,24.46,448.56,11.08,79.45,0.42,2.0,1.0,0.0
61.64,7.77,53.48,3.79,1.82,2.49,172.29,60.78,37.98,458.54,16.91,89.15,0.72,2.0,0.0,0.0
65.19,7.25,44.43,3.73,1.67,1.99,152.69,53.01,30.88,360.25,5.04,76.24,0.93,1.0,0.0,1.0
30.22,6.06,40.7,3.15,0.79,1.92,176.68,59.22,54.25,409.14,10.14,79.01,0.71,0.0,0.0,0.0
38.35,6.06,48.18,3.65,1.54,2.28,140.08,60.9,55.86,345.18,17.77,79.31,0.99,2.0,0.0,0.0
65.65,6.05,45.78,1.96,1.4,1.91,70.16,69.01,69.21,310.1,16.89,81.86,1.55,0.0,1.0,0.0
63.32,5.67,56.18,2.14,0.78,1.92,108.68,57.33,69.7,486.67,17.95,94.73,1.02,0.0,1.0,0.0
78.3,7.26,56.01,2.84,0.91,1.03,195.69,69.6,55.63,213.06,19.07,60.9,1.16,1.0,1.0,0.0
68.05,8.02,49.14,2.87,1.11,1.35,102.67,60.85,24.27,161.66,19.04,45.7,1.62,2.0,0.0,0.0
77.54,5.55,52.13,2.45,1.55,1.98,180.17,54.85,41.23,214.99,17.47,49.91,1.31,1.0,0.0,1.0
65.13,5.65,52.09,2.2,1.46,2.65,63.98,53.83,48.63,345.85,22.78,79.9,1.4,0.0,1.0,0.0
44.9,7.22,56.54,3.96,1.3,1.56,100.13,52.83,47.96,174.07,7.89,50.25,1.51,0.0,1.0,0.0
35.27,7.96,48.5,3.46,1.65,2.05,102.64,59.06,52.96,463.53,20.23,81.87,1.08,0.0,0.0,0.0
69.09,6.48,45.51,2.3,1.64,1.69,57.74,50.44,70.11,264.41,3.97,70.98,1.61,2.0,1.0,0.0
62.21,6.55,45.3,3.18,1.43,1.21,67.86,58.9,66.49,439.99,11.75,88.86,1.33,2.0,0.0,1.0
32.41,7.29,50.72,1.81,1.68,2.92,78.97,69.77,29.23,199.69,20.13,63.17,1.64,2.0,0.0,1.0
48.0,6.32,48.98,1.3,1.0,2.71,175.67,63.4,36.77,225.27,18.82,61.72,1.11,0.0,1.0,0.0
77.84,5.58,48.8,2.06,1.82,1.16,59.51,65.2,63.99,123.69,10.87,53.83,1.89,0.0,1.0,0.0
55.02,7.71,41.82,2.21,1.42,2.44,94.81,52.38,63.57,203.11,13.56,61.69,1.55,2.0,0.0,0.0
51.64,7.38,54.37,1.05,1.73,1.7,51.53,59.46,37.22,296.13,14.22,59.48,1.65,0.0,0.0,1.0
52.88,7.24,44.27,3.44,1.32,2.99,154.34,55.72,59.07,478.45,19.17,96.86,0.8,0.0,0.0,1.0
40.44,7.73,43.94,2.08,0.83,1.6,143.05,67.88,56.26,255.56,13.79,71.24,1.2,0.0,1.0,0.0
48.44,7.53,48.26,2.74,1.31,1.48,146.75,53.63,46.73,355.9,12.48,76.32,0.94,2.0,0.0,0.0
48.49,6.12,44.56,1.22,1.06,2.14,106.16,59.17,33.67,271.08,16.17,71.01,1.48,1.0,0.0,1.0
32.62,6.56,51.68,1.52,1.55,2.67,81.24,61.76,66.65,118.72,19.53,60.58,1.9,1.0,0.0,1.0
68.38,5.88,47.43,3.67,1.21,1.39,158.05,60.28,56.54,301.41,14.7,74.15,1.18,1.0,0.0,0.0
50.83,5.89,48.98,2.83,1.75,2.42,171.67,66.6,32.11,126.37,19.47,48.89,1.28,2.0,0.0,0.0
71.11,7.53,50.74,3.85,1.52,1.12,70.79,54.63,57.83,453.48,24.5,87.1,1.16,0.0,0.0,1.0
72.52,8.08,44.07,4.0,1.53,2.84,123.02,57.55,59.59,401.21,4.61,74.65,1.16,1.0,0.0,1.0
40.6,8.39,43.12,2.12,0.83,1.16,87.31,65.84,66.57,251.46,19.88,73.83,1.65,1.0,0.0,0.0
62.87,7.39,57.61,1.9,1.98,2.83,75.22,60.56,34.7,356.09,25.77,71.57,1.37,2.0,0.0,1.0
53.61,6.05,48.67,3.58,1.76,1.98,160.15,58.04,71.46,144.81,18.47,64.1,1.31,0.0,1.0,0.0
74.01,5.82,48.24,4.0,1.68,1.9,130.71,50.59,31.36,381.02,14.6,78.04,1.01,0.0,1.0,0.0
40.79,7.94,40.71,2.89,1.0,2.95,82.43,65.07,52.83,429.09,5.82,83.98,1.13,2.0,0.0,0.0
63.89,7.24,49.96,3.39,1.3,2.98,96.5,69.44,55.54,428.7,16.8,88.18,1.24,1.0,0.0,0.0
60.39,7.35,51.08,3.35,0.71,2.3,195.0,62.41,44.11,213.71,14.73,56.29,1.17,0.0,0.0,0.0
44.77,7.84,51.18,2.07,1.31,1.25,177.3,67.13,46.8,205.5,9.45,52.54,1.21,0.0,1.0,0.0
36.83,7.61,54.14,2.72,0.72,2.01,181.99,60.34,66.76,308.56,14.18,73.45,0.91,1.0,0.0,1.0
62.58,8.0,43.55,3.5,1.33,2.06,119.0,54.63,54.97,487.11,14.37,91.9,0.84,2.0,1.0,0.0
66.93,5.67,45.04,3.06,1.47,2.03,143.57,50.29,47.86,468.21,16.3,90.69,0.78,1.0,0.0,1.0
45.78,7.74,56.21,1.06,1.09,2.14,106.52,63.07,30.16,243.86,12.6,60.88,1.39,0.0,1.0,0.0
62.24,8.05,58.94,2.01,1.25,1.04,61.66,59.86,24.35,411.93,6.72,71.56,1.39,2.0,0.0,1.0
49.76,6.36,42.72,1.43,1.81,2.42,110.16,65.64,30.0,468.53,12.68,89.37,1.09,1.0,1.0,0.0
65.66,7.42,49.95,1.7,0.66,2.42,139.1,63.89,69.9,204.37,11.39,62.63,1.48,1.0,0.0,0.0
39.96,6.44,44.28,3.72,1.69,1.23,93.07,69.76,60.68,432.12,12.6,87.28,1.08,2.0,1.0,0.0
74.51,8.37,41.2,1.11,0.76,2.14,177.19,60.21,70.42,207.16,2.96,67.32,1.14,0.0,0.0,1.0
44.37,5.6,46.51,1.66,0.56,2.14,72.67,58.54,25.71,237.31,13.23,59.22,1.61,2.0,1.0,0.0
48.39,7.24,42.87,1.93,0.78,2.36,105.07,55.73,56.65,179.53,15.77,49.57,1.72,2.0,1.0,0.0
32.9,6.0,54.2,2.85,1.65,1.17,68.74,59.54,26.13,302.83,15.29,62.15,1.42,0.0,1.0,0.0
35.58,7.64,50.67,2.6,1.11,2.25,110.72,67.46,61.54,437.32,16.98,88.37,1.07,1.0,0.0,0.0
55.79,6.03,42.88,1.65,1.81,1.56,55.95,50.85,42.29,311.22,12.43,77.45,1.51,2.0,1.0,0.0
43.38,6.21,40.18,1.49,1.29,2.01,90.88,69.56,28.6,149.38,3.18,54.05,1.73,2.0,0.0,0.0
71.77,6.98,56.16,1.71,0.53,2.55,110.11,69.87,51.27,200.71,18.23,62.76,1.62,1.0,0.0,0.0
30.73,8.24,43.52,2.51,1.58,2.41,121.72,61.96,37.45,325.14,10.5,60.06,1.21,0.0,1.0,0.0
48.95,6.14,52.12,1.81,0.67,1.24,131.55,56.63,55.66,333.27,9.85,79.74,1.1,1.0,1.0,0.0
46.87,5.93,46.74,3.84,1.68,2.18,91.25,54.46,55.59,330.76,19.08,78.81,1.46,1.0,1.0,0.0
30.97,7.78,51.71,2.39,0.75,2.94,128.46,55.53,57.84,130.8,18.11,57.5,1.61,2.0,0.0,1.0
36.22,7.0,46.31,1.18,1.02,1.31,126.35,51.0,71.64,401.48,11.59,85.82,1.11,2.0,1.0,0.0
50.68,8.24,41.74,3.19,1.64,2.71,97.43,59.5,42.56,463.77,13.33,87.42,1.11,0.0,0.0,0.0
54.64,5.94,44.46,1.99,1.93,2.41,174.53,51.15,46.34,304.21,15.47,75.83,0.9,2.0,1.0,0.0
50.21,7.44,43.76,2.96,1.06,2.55,131.85,64.37,62.62,387.53,6.03,81.01,1.2,1.0,0.0,1.0
56.55,6.2,48.56,1.84,1.74,1.56,99.84,57.44,51.76,465.61,9.96,88.8,1.05,1.0,1.0,0.0
59.76,5.97,53.17,2.71,0.79,1.58,192.1,53.99,25.79,357.05,11.65,69.33,0.91,0.0,0.0,1.0
30.5,7.55,45.28,3.32,1.71,2.81,176.77,60.9,64.47,369.73,17.75,79.95,0.84,2.0,0.0,1.0
53.2,7.28,40.24,3.78,1.49,1.72,197.39,69.48,26.47,388.56,21.5,74.72,0.79,2.0,1.0,0.0
78.17,7.76,50.38,1.78,0.79,1.13,153.84,63.9,32.2,204.2,18.92,59.93,1.42,0.0,0.0,0.0
55.95,6.43,52.12,2.0,0.95,2.2,106.73,59.83,28.9,333.07,17.3,66.6,1.39,0.0,0.0,1.0
63.88,6.84,59.26,2.39,0.7,1.25,92.13,65.54,27.74,436.87,13.61,78.64,1.18,2.0,1.0,0.0
45.59,6.72,51.79,3.78,1.07,2.59,149.5,64.75,25.23,218.47,20.86,58.55,1.28,0.0,1.0,0.0
68.7,8.45,49.42,3.7,0.81,2.28,197.12,67.83,26.64,458.87,14.54,80.57,0.46,1.0,0.0,0.0
68.65,6.38,51.47,1.27,1.47,2.75,144.01,54.09,45.24,348.15,11.48,74.64,0.96,0.0,0.0,1.0
56.06,6.38,58.56,1.4,1.99,2.57,182.24,67.18,36.14,269.27,22.4,58.2,1.16,1.0,0.0,1.0
78.8,6.56,56.57,2.49,0.52,1.22,99.37,56.02,30.07,349.27,24.58,73.69,1.22,1.0,1.0,0.0
36.28,7.19,46.46,1.32,1.31,1.76,111.04,68.82,55.62,260.74,18.54,64.15,1.5,1.0,1.0,0.0
30.85,6.26,44.75,2.04,1.36,2.55,185.94,55.62,34.85,435.21,26.57,73.59,0.79,2.0,0.0,0.0
68.51,8.25,45.25,1.45,1.87,1.83,163.53,68.54,24.91,292.93,10.88,65.72,1.14,1.0,0.0,0.0
70.36,6.3,50.09,2.91,1.26,2.94,197.21,69.28,44.08,460.49,14.2,86.55,0.63,0.0,0.0,1.0
36.01,8.19,54.88,3.85,1.32,2.47,166.21,52.91,38.9,303.92,13.74,70.35,0.94,1.0,0.0,1.0
43.28,5.81,50.06,3.99,1.21,1.03,117.28,69.49,39.29,364.15,12.04,76.52,1.05,2.0,1.0,0.0
30.88,7.47,41.36,2.13,0.9,2.76,129.66,51.71,45.37,499.1,20.58,91.1,0.79,2.0,0.0,1.0
44.67,8.22,54.47,2.8,0.58,1.2,185.08,54.37,56.11,158.79,11.89,64.44,1.42,2.0,0.0,0.0
68.66,6.01,56.12,3.57,1.11,1.28,132.75,58.88,53.59,394.69,15.47,84.36,1.18,2.0,0.0,0.0
55.9,8.4,45.79,1.35,0.58,2.47,88.31,69.87,68.99,155.55,20.91,64.05,1.75,0.0,1.0,0.0
47.4,6.86,53.28,3.07,1.33,2.73,115.34,59.77,48.85,435.55,19.42,86.19,1.18,2.0,0.0,0.0
48.59,8.34,48.53,2.23,0.96,2.07,127.45,61.01,46.68,338.58,10.6,77.52,1.09,0.0,0.0,0.0
30.07,7.53,57.78,1.62,1.3,1.58,64.51,63.89,34.24,475.26,17.86,82.23,1.19,2.0,0.0,0.0
44.99,6.4,56.9,2.21,0.7,1.7,161.56,69.37,60.26,446.38,9.61,89.93,0.96,2.0,0.0,0.0
62.32,6.06,50.51,1.23,1.9,1.69,66.4,65.67,30.76,129.95,15.12,54.96,2.12,0.0,1.0,0.0
78.71,6.41,53.83,3.09,1.84,1.65,110.74,54.48,47.57,154.92,17.98,53.96,1.71,1.0,1.0,0.0
72.35,5.78,57.67,1.76,0.78,1.49,170.69,56.06,44.22,340.47,18.91,79.77,0.81,0.0,0.0,1.0
31.18,5.93,49.91,1.93,1.02,2.22,120.14,51.95,55.6,307.33,25.44,70.17,1.42,1.0,0.0,0.0
74.93,5.81,46.27,1.36,1.42,2.8,176.3,62.89,68.05,167.43,18.73,62.72,1.26,0.0,0.0,1.0
69.16,6.77,55.07,3.59,0.64,1.61,101.28,53.61,69.44,151.74,11.99,54.0,1.76,1.0,1.0,0.0
69.02,7.89,44.4,2.48,1.03,1.37,193.65,55.15,32.05,325.6,14.99,72.98,0.89,2.0,1.0,0.0
52.9,5.92,47.77,2.72,0.88,2.68,81.42,67.76,36.57,119.57,15.3,55.4,1.95,1.0,1.0,0.0
49.9,5.89,57.31,2.71,1.87,2.48,55.74,56.54,62.96,449.49,27.97,87.41,1.33,1.0,1.0,0.0
45.15,7.43,54.49,2.23,1.78,2.86,180.86,61.33,48.88,422.83,15.57,75.4,1.02,2.0,1.0,0.0
33.28,6.09,48.08,1.58,1.37,1.33,162.83,57.95,45.75,414.15,16.02,80.75,0.95,2.0,1.0,0.0
41.41,5.79,44.29,3.24,1.28,1.29,84.8,51.48,58.11,106.4,15.92,47.84,1.74,1.0,1.0,0.0
42.33,6.0,47.12,1.38,1.9,2.08,197.71,57.26,52.89,119.06,9.92,52.94,1.11,1.0,0.0,0.0
54.2,8.27,45.68,1.31,1.9,2.23,125.34,58.16,70.59,319.94,7.19,80.29,1.07,0.0,0.0,1.0
67.37,7.96,43.52,3.13,1.95,1.96,192.66,67.91,52.03,497.77,13.49,92.54,0.6,2.0,1.0,0.0
53.69,6.56,54.87,1.63,0.69,2.2,125.75,56.49,46.37,236.93,20.73,55.21,1.49,2.0,0.0,0.0
32.89,7.47,45.04,1.92,0.74,1.36,120.78,57.58,50.06,237.75,7.84,62.16,1.16,2.0,0.0,0.0
77.89,7.11,49.08,2.43,1.52,1.96,117.37,65.66,62.81,153.71,15.49,58.96,1.73,0.0,0.0,1.0
77.14,7.53,47.72,2.35,1.31,2.32,100.23,65.18,53.41,369.73,12.22,84.58,1.29,0.0,1.0,0.0
69.26,7.55,59.64,3.13,0.53,1.87,130.06,65.97,55.06,358.67,9.44,76.14,1.29,1.0,0.0,1.0
79.57,7.39,47.82,2.87,0.59,2.36,117.88,69.08,70.63,140.53,16.76,60.67,1.53,0.0,1.0,0.0
57.22,6.3,41.6,2.93,1.83,1.9,55.51,65.91,53.68,286.96,15.94,70.31,1.68,0.0,0.0,0.0
78.14,5.62,41.8,3.14,1.8,1.67,89.07,58.15,42.25,366.83,17.33,72.2,1.35,0.0,0.0,0.0
33.78,6.87,51.82,1.88,1.04,1.61,81.97,66.43,57.18,297.41,20.42,68.91,1.42,2.0,0.0,0.0
48.28,8.17,51.99,1.97,1.84,1.82,180.12,60.17,55.65,369.75,16.32,77.15,0.73,1.0,0.0,0.0
41.27,7.21,48.38,2.31,1.39,1.05,139.83,55.55,24.66,426.51,17.6,83.94,1.04,0.0,0.0,1.0
39.79,8.0,48.64,1.92,1.71,2.34,164.55,56.06,46.43,374.33,16.79,72.83,0.95,0.0,1.0,0.0
37.04,8.47,41.08,3.95,1.14,2.69,193.52,54.48,59.66,346.45,1.17,75.68,0.88,0.0,1.0,0.0
61.12,5.99,50.33,3.44,0.67,1.71,146.61,52.9,47.95,441.44,8.92,80.74,1.02,2.0,0.0,1.0
69.07,7.58,50.09,1.49,1.15,1.09,197.39,53.69,61.42,460.24,12.19,94.83,0.59,1.0,1.0,0.0
58.91,7.52,42.99,1.02,1.19,2.97,96.76,51.26,45.64,255.55,14.14,66.6,1.54,1.0,0.0,0.0
37.35,8.44,42.08,1.13,1.33,1.53,77.94,67.77,71.2,169.3,14.78,68.02,1.81,0.0,1.0,0.0
70.56,8.46,42.47,1.73,0.66,1.25,110.5,68.62,38.06,427.14,16.81,67.0,1.13,1.0,0.0,0.0
61.8,7.56,42.02,1.34,1.99,1.74,120.62,61.74,28.42,185.5,17.03,58.87,1.39,2.0,0.0,1.0
49.41,6.23,52.19,2.6,0.87,2.48,184.3,66.81,44.64,471.58,17.88,81.59,0.63,0.0,1.0,0.0
63.71,7.9,43.93,3.57,0.8,1.59,133.99,53.67,50.0,109.15,17.0,47.97,1.73,1.0,0.0,1.0
43.0,5.82,45.03,3.21,1.29,2.15,93.83,68.03,40.76,468.51,22.6,84.05,1.08,0.0,1.0,0.0
47.26,7.84,43.47,1.65,1.31,1.83,161.4,60.13,35.63,335.67,16.12,70.6,0.97,2.0,0.0,0.0
75.87,8.23,59.16,2.2,1.16,1.24,125.87,51.34,56.26,409.9,18.61,82.16,1.15,0.0,0.0,1.0
44.53,6.65,57.09,2.52,1.66,1.66,74.32,52.83,42.1,259.4,20.67,60.81,1.61,2.0,1.0,0.0
53.5,7.39,44.61,3.43,1.27,2.45,136.52,56.18,54.31,496.69,19.01,90.01,0.76,0.0,0.0,0.0
74.51,6.79,46.55,3.52,1.41,2.22,186.71,50.87,61.4,191.02,23.3,60.91,1.1,0.0,0.0,1.0
65.39,6.81,44.2,3.73,1.59,1.24,176.39,56.19,60.53,205.74,9.31,54.42,1.2,1.0,0.0,1.0
33.11,6.43,49.84,2.53,0.54,1.33,138.02,51.2,42.01,120.57,7.76,52.18,1.5,1.0,1.0,0.0
37.37,7.79,40.39,3.08,1.36,2.28,106.56,54.72,51.26,476.19,14.59,87.94,1.1,2.0,1.0,0.0
30.39,8.31,53.43,1.34,1.83,2.63,63.05,55.31,45.58,282.41,9.93,68.32,1.54,2.0,1.0,0.0
61.55,8.32,50.46,2.7,0.53,1.7,120.45,69.89,65.8,369.94,14.99,77.67,1.19,2.0,0.0,0.0
52.38,6.02,57.97,1.75,1.11,2.19,162.81,54.71,66.18,374.98,27.51,80.86,0.98,1.0,1.0,0.0
36.71,8.12,43.29,2.3,1.89,1.34,104.04,54.78,40.5,449.8,14.21,72.24,1.14,0.0,0.0,1.0
77.9,7.71,56.08,2.9,1.03,1.62,85.32,63.74,28.4,365.97,18.11,69.58,1.5,2.0,0.0,1.0
56.48,6.26,55.84,1.77,1.19,1.04,189.71,67.19,32.04,324.81,15.68,66.65,0.77,0.0,1.0,0.0
42.09,5.7,42.54,1.16,1.97,2.54,173.23,57.74,41.62,384.13,21.44,76.49,0.93,0.0,1.0,0.0
55.03,6.3,47.97,1.03,0.8,1.8,145.74,67.51,51.08,400.39,17.27,80.11,1.03,1.0,0.0,1.0
63.98,8.24,43.4,1.07,0.6,2.63,70.52,56.8,55.53,174.37,11.5,63.31,1.69,1.0,0.0,0.0
33.81,7.4,45.09,1.03,1.79,2.42,71.74,53.94,39.91,143.87,21.94,46.81,1.88,0.0,1.0,0.0
43.74,7.66,45.26,1.33,1.8,2.66,65.48,56.59,56.04,129.94,15.63,57.81,1.87,2.0,1.0,0.0
70.35,6.27,51.12,1.72,1.21,1.57,142.44,62.19,69.01,249.62,14.24,78.78,1.43,1.0,0.0,1.0
52.98,7.66,48.23,1.66,1.27,1.37,67.33,57.34,55.3,299.2,4.94,68.54,1.51,0.0,1.0,0.0
57.33,5.58,58.95,3.96,1.75,2.94,176.39,63.46,31.61,346.26,20.24,74.61,0.9,1.0,0.0,0.0
51.64,6.63,42.53,1.92,1.61,2.43,198.94,54.74,51.82,483.21,11.77,95.85,0.5,0.0,0.0,1.0
32.19,7.38,59.47,1.38,0.9,2.67,104.95,64.02,50.01,232.32,17.25,70.26,1.43,1.0,1.0,0.0
38.29,5.94,44.61,2.64,0.53,1.03,118.05,56.95,65.79,404.35,12.51,82.14,0.95,2.0,0.0,1.0
52.28,7.97,55.46,3.57,1.22,1.71,156.75,59.12,40.81,312.54,8.96,74.83,1.01,2.0,1.0,0.0
40.46,6.21,46.78,3.03,1.79,2.49,190.57,61.15,44.3,188.04,28.44,61.96,1.19,1.0,1.0,0.0
32.5,7.46,42.86,1.89,1.84,1.16,184.11,63.72,52.74,346.12,10.5,81.19,0.92,1.0,1.0,0.0
72.18,6.72,57.16,2.68,1.93,2.13,58.64,54.77,49.17,486.87,21.9,91.97,1.31,1.0,0.0,0.0
79.06,7.29,46.18,3.14,1.82,1.86,75.36,66.72,58.51,149.72,14.23,62.52,1.93,2.0,0.0,0.0
69.66,5.82,53.18,3.18,1.37,1.04,163.19,64.44,25.94,302.91,3.57,64.35,1.12,1.0,0.0,1.0
72.69,5.55,51.33,3.0,1.17,1.47,153.33,54.68,51.05,120.64,15.94,49.98,1.57,2.0,1.0,0.0
42.1,8.23,49.44,3.61,1.66,1.57,69.98,69.5,29.84,228.49,16.93,47.92,1.75,1.0,1.0,0.0
